Epoch number,Loss,Train AUC,Val AUC,Test AUC,Precision,Recall,F1
0,0.97,0.5,0.51,0.51,0.51,0.56,0.53
1,0.96,0.51,0.51,0.52,0.51,0.6,0.55
2,0.96,0.52,0.52,0.52,0.51,0.63,0.57
3,0.96,0.53,0.53,0.53,0.52,0.66,0.58
4,0.96,0.54,0.54,0.55,0.52,0.67,0.59
5,0.95,0.55,0.55,0.56,0.53,0.68,0.6
6,0.95,0.56,0.56,0.56,0.53,0.68,0.6
7,0.95,0.58,0.57,0.57,0.54,0.68,0.6
8,0.95,0.59,0.58,0.58,0.54,0.68,0.6
9,0.94,0.6,0.59,0.59,0.55,0.68,0.61
10,0.94,0.61,0.6,0.6,0.55,0.68,0.61
11,0.94,0.62,0.61,0.61,0.55,0.69,0.61
12,0.93,0.63,0.61,0.61,0.56,0.69,0.62
13,0.93,0.64,0.62,0.62,0.56,0.69,0.62
14,0.92,0.65,0.63,0.63,0.57,0.69,0.62
15,0.92,0.66,0.63,0.64,0.57,0.69,0.63
16,0.91,0.67,0.64,0.64,0.57,0.7,0.63
17,0.91,0.68,0.65,0.65,0.58,0.7,0.63
18,0.91,0.69,0.65,0.65,0.58,0.7,0.63
19,0.9,0.7,0.66,0.66,0.59,0.7,0.64
20,0.9,0.71,0.66,0.66,0.59,0.7,0.64
21,0.89,0.72,0.66,0.66,0.59,0.69,0.64
22,0.89,0.73,0.67,0.67,0.6,0.69,0.64
23,0.88,0.74,0.67,0.67,0.6,0.69,0.64
24,0.88,0.74,0.67,0.67,0.6,0.69,0.64
25,0.87,0.75,0.68,0.68,0.61,0.69,0.64
26,0.87,0.76,0.68,0.68,0.61,0.69,0.65
27,0.87,0.76,0.68,0.68,0.61,0.69,0.65
28,0.86,0.77,0.68,0.68,0.61,0.68,0.65
29,0.86,0.77,0.68,0.68,0.61,0.68,0.65
30,0.86,0.78,0.69,0.69,0.62,0.68,0.65
31,0.85,0.78,0.69,0.69,0.62,0.68,0.65
32,0.85,0.78,0.69,0.69,0.62,0.68,0.65
33,0.85,0.79,0.69,0.69,0.62,0.68,0.65
34,0.85,0.79,0.69,0.69,0.62,0.68,0.65
35,0.84,0.8,0.69,0.69,0.62,0.67,0.65
36,0.84,0.8,0.69,0.69,0.62,0.67,0.65
37,0.84,0.8,0.69,0.69,0.63,0.67,0.65
38,0.84,0.8,0.69,0.69,0.63,0.67,0.65
39,0.84,0.81,0.69,0.69,0.63,0.67,0.65
40,0.83,0.81,0.69,0.69,0.63,0.67,0.65
41,0.83,0.81,0.69,0.69,0.63,0.67,0.65
42,0.83,0.81,0.69,0.69,0.63,0.67,0.65
43,0.83,0.81,0.69,0.7,0.63,0.67,0.65
44,0.83,0.81,0.7,0.7,0.63,0.67,0.65
45,0.83,0.82,0.7,0.7,0.63,0.67,0.65
46,0.83,0.82,0.7,0.7,0.63,0.67,0.65
47,0.83,0.82,0.7,0.7,0.63,0.67,0.65
48,0.82,0.82,0.7,0.7,0.63,0.67,0.65
49,0.82,0.82,0.7,0.7,0.63,0.67,0.65
