playlist_id,playlist_name,num_tracks,num_followers
0,Throwbacks,52,1
1,Awesome Playlist,39,1
2,korean ,64,1
3,mat,126,1
4,90s,17,2
5,Wedding,80,1
6,I Put A Spell On You,16,1
7,2017,53,1
8,BOP,46,2
9,old country ,21,1
10,abby ,72,2
11,VIBE,134,1
12,relax,9,1
13,sleep,13,1
14,90's ,103,1
15,New Songs,7,1
16,slow hands,105,1
17,Mom's playlist,79,1
18,SARAH,68,1
19,melancholy,85,1
20,mixtape,14,3
21,Sad Songs,15,1
22,fall '17,42,2
23,✔️,20,1
24,Twenty one pilots,7,1
25,run it,41,2
26,Winter 2014,26,1
27,smooth ,12,1
28,Yeet,81,7
29,groovy,40,1
30,Garage Rock,157,1
31,Running 2.0,97,1
32,acoustic,106,1
33,morning,17,1
34,good good,80,1
35,Good Vibes,70,1
36, indie rock,9,1
37,Hits,72,1
38,tb,53,1
39,Country,58,1
40,2020,85,6
41,Belters,209,1
42,Road Trippin',158,2
43,Country,21,1
44,taylor swift,33,3
45,angst,76,1
46,Running 2,11,1
47,Spring 2016,15,1
48,Country,32,1
49,Gospel,45,1
50,SB,55,1
51,Kevin,54,1
52,Christmas,15,5
53,NB,105,4
54,Smooth Jazz,5,1
55,Tennessee ,151,3
56,funky,19,1
57,spring 16,19,1
58,Gates,38,2
59,Favorite Songs,136,3
60,Ski,66,2
61,Country,13,1
62,hype,33,2
63,Awesome Mix,38,1
64,Elizabeth,105,1
65,PlayStation,133,1
66,Ashley,81,1
67,chill,8,1
68,xx,174,1
69,art class,18,1
70,Random Tunes,74,1
71,boat,26,1
72,spanish jams,197,1
73,new,34,1
74,CR,5,1
75,Run!!,14,2
76,winter '17,32,4
77,Workout,24,1
78,Traps ,16,1
79,Dope,16,1
80,Chill,66,1
81,rap,64,1
82,Gospel,25,1
83,Florida,69,2
84,Workout2,39,1
85,Gym,72,2
86,Zoned,42,1
87,relax,24,1
88,KPOP,66,1
89,80's,92,1
90,For the Road,103,2
91,R & B,68,3
92,Tom Petty,8,1
93,Catchy Songs,98,1
94,relax,124,1
95,roadtrippin,170,1
96,christmas,19,1
97,2012,233,1
98,Dave,81,1
99,bang bang. ,42,2
100,Disneyland,22,1
101,#boostyourrun,22,1
102,LUV,48,1
103,latin,177,1
104,JAMS,65,1
105,~Rando~,115,1
106,Party Rock!!,114,1
107,party people,62,2
108,The Piano Guys,69,1
109,Worship,132,1
110,Brasileiras,33,2
111,country,24,1
112,4/20,65,1
113,2016,19,1
114,Willie,23,1
115,beach,194,4
116,Gold Digger,12,1
117,Fall 2015,13,1
118,dance it out,38,1
119,greek,23,1
120,All the songs,103,1
121,Kyle,168,1
122,HALLOWEEN,20,1
123,w o r k o u t,245,1
124,party music,176,2
125,summer,53,1
126,XXXMas,50,1
127,BBG,26,1
128,bae,18,1
129,oldies,94,3
130,its lit,205,2
131,go to,99,1
132,Killin' It,10,1
133,October 2017,20,4
134,Rap/Pop,233,1
135,1990's ,53,1
136,Rap,32,1
137,GUACAMOLE,24,1
138,14,130,1
139,That New New,44,2
140,Relaxing,71,1
141,sleep,22,1
142,Get It!,109,1
143,bumps,37,1
144,picks,60,4
